,name,mass,radius,orbper
488,HD 16141 b,0.25,,75.455
489,HD 16175 b,5.1,,990.0
490,HD 162020 b,9.84,,8.4282
491,HD 163607 b,0.7836,,75.2203
492,HD 163607 c,2.201,,1272.0
493,HD 16417 b,0.0696,,17.24
494,HD 164509 b,0.443,,280.17
495,HD 164595 b,0.05078,,40.0
496,HD 164604 b,1.99792,,641.472
497,HD 164922 b,0.344,,1198.5
498,HD 164922 c,0.0451,,75.817
499,HD 164922 d,0.0149,,12.4584
500,HD 164922 e,0.0331,,41.763
501,HD 165155 b,2.89,,434.5
502,HD 1666 b,6.43,,270.0
503,HD 166724 b,3.53,,5144.0
504,HD 167042 b,1.59,,418.17
505,HD 168009 b,0.03,,15.1479
506,HD 168443 b,7.6231,,58.11187301
507,HD 168746 b,0.2294,,6.4045
508,HD 168863 b,6.75311,,14773.93271605
509,HD 1690 b,8.79,,533.0
510,HD 16905 b,9.07864,,6707.49126331
511,HD 169830 b,2.52834,,225.67371788
512,HD 169830 c,7.11033,,1818.82339336
513,HD 170469 b,0.555,,1130.0
514,HD 17092 b,10.13,,359.89999
515,HD 171028 b,2.62,,550.0
516,HD 171238 b,8.8,,1515.0
517,HD 17156 b,3.16,,21.2167
518,HD 173416 b,2.03,,
519,HD 174205 b,4.2,,582.0
520,HD 175167 b,6.80125,,1276.07604009
521,HD 175541 b,0.577,,299.05
522,HD 175607 b,0.02825,,29.01
523,HD 17674 b,0.87,,623.8
524,HD 176986 b,0.01806,,6.4898
525,HD 176986 c,0.02888,,16.8191
526,HD 177565 b,0.04751,,44.505
527,HD 177830 b,1.348,,407.37
528,HD 177830 c,0.104,,111.163
529,HD 178911 B b,7.07,,71.479
530,HD 179079 b,0.081,,14.479
531,HD 179949 b,0.967,,3.092535
532,HD 180053 b,2.194,,213.72
533,HD 18015 b,3.18,,2278.0
534,HD 180617 b,0.03843,,105.911
535,HD 180902 b,1.685,,510.9
536,HD 181234 b,9.37932,,7593.40511644
537,HD 181342 b,2.54,,564.1
538,HD 18143 b,0.03307,,10.28510117
539,HD 18143 c,9.80228,,28982.41764205
540,HD 181433 b,0.0223,,9.3745
541,HD 181433 c,0.674,,1014.5
542,HD 181433 d,0.612,,7012.0
543,HD 181720 b,0.4,,956.0
544,HD 183263 b,3.46739,,624.87403922
545,HD 183263 c,9.31015,,4667.97840705
546,HD 183579 b,0.06198,0.317,17.471278
547,HD 184010 b,0.31,,286.6
548,HD 184010 c,0.3,,484.3
549,HD 184010 d,0.45,,836.4
550,HD 185269 b,1.01,,6.83776
551,HD 187085 b,0.836,,1019.74
552,HD 187123 b,0.501,,3.0965971
553,HD 187123 c,1.713,,3374.0
554,HD 18742 b,3.4,,766.0
555,HD 188015 b,1.454,,462.59
556,HD 189567 b,0.02674,,14.288
557,HD 189567 c,0.02202,,33.688
558,HD 190007 b,0.05179,,11.72
559,HD 190228 b,5.4332,,1143.59857585
560,HD 190360 b,1.8,,2854.0
561,HD 190360 c,0.0675,,17.11704
562,HD 190647 b,1.985,,1176.45
563,HD 190984 b,3.1,,4885.0
564,HD 191806 b,9.34112,,1603.38923493
565,HD 191939 b,0.03272,0.302,8.88029
566,HD 191939 c,0.02265,0.275,28.5805
567,HD 191939 d,0.01825,0.271,38.3525
568,HD 191939 e,0.33981,,101.5
569,HD 191939 f,6.49722,,4450.0
570,HD 192263 b,0.658,,24.3597
571,HD 192310 b,0.0451,,74.062
572,HD 192310 c,0.076,,525.8
573,HD 192699 b,2.096,,340.94
574,HD 194490 b,11.26401,,13092.18347776
575,HD 195019 b,3.655,,18.201228
576,HD 196050 b,3.18,,1378.0
577,HD 196067 b,12.5,,3609.0
578,HD 19615 b,8.5,,402.0
579,HD 196885 A b,2.98,,1325.8575
580,HD 197037 b,0.79,,1035.7
581,HD 199509 b,0.13487,,99.62167078
582,HD 19994 b,1.37,,466.2
583,HD 20003 b,0.0367,,11.8482
584,HD 20003 c,0.0454,,33.9239
585,HD 200964 b,1.599,,606.3
586,HD 200964 c,1.214,,852.5
587,HD 202696 b,1.996,,517.8
588,HD 202696 c,1.864,,946.6
589,HD 202772 A b,1.017,1.545,3.308958
590,HD 203030 b,11.0,1.29,
591,HD 203387 b,3.494,,512.53519584
592,HD 203387 c,7.47507,,2481.07226962
593,HD 203473 b,7.8,,1552.9
594,HD 2039 b,6.29,,1120.0
595,HD 204313 b,4.88801,,2041.11538546
596,HD 204313 c,0.05412,,34.95875432
597,HD 204941 b,0.23,,1733.0
598,HD 205158 b,0.38835,,25.33798092
599,HD 205739 b,1.37,,279.8
600,HD 206255 b,0.1076,,96.045
601,HD 206610 b,2.036,,673.2
602,HD 20781 b,0.0061,,5.3135
603,HD 20781 c,0.0168,,13.8905
604,HD 20781 d,0.0334,,29.158
605,HD 20781 e,0.0442,,85.5073
606,HD 20782 b,0.73,,577.9
607,HD 207832 b,0.56,,160.07
608,HD 207832 c,0.73,,1155.7
609,HD 207897 b,0.04531,0.223,16.202159
610,HD 20794 b,0.00887,,18.33
611,HD 20794 c,0.00793,,43.17
612,HD 20794 d,0.01108,,88.9
613,HD 20794 e,0.01501,,147.02
