,name,mass,radius,orbper
334,HAT-P-47 b,0.206,1.313,4.732182
335,HAT-P-48 b,0.168,1.131,4.40865
336,HAT-P-49 b,1.73,1.413,2.691548
337,HAT-P-5 b,1.06,1.252,2.788491
338,HAT-P-50 b,1.35,1.288,3.1220109
339,HAT-P-51 b,0.309,1.293,4.2180278
340,HAT-P-52 b,0.818,1.009,2.7535953
341,HAT-P-53 b,1.484,1.318,1.9616241
342,HAT-P-54 b,0.76,0.944,3.799847
343,HAT-P-55 b,0.582,1.182,3.5852467
344,HAT-P-56 b,2.18,1.51,2.79083
345,HAT-P-57 b,1.85,1.413,2.465295
346,HAT-P-58 b,0.372,1.332,4.013837
347,HAT-P-59 b,1.54,1.123,4.1419771
348,HAT-P-6 b,1.057,1.33,3.853003
349,HAT-P-60 b,0.574,1.631,4.7947813
350,HAT-P-61 b,1.057,0.899,1.90231289
351,HAT-P-62 b,0.761,1.073,2.6453235
352,HAT-P-63 b,0.614,1.119,3.377728
353,HAT-P-64 b,0.58,1.703,4.007232
354,HAT-P-65 b,0.527,1.89,2.6054552
355,HAT-P-66 b,0.783,1.59,2.972086
356,HAT-P-67 b,0.34,2.085,4.81010205
357,HAT-P-68 b,0.724,1.072,2.29840551
358,HAT-P-69 b,3.58,1.676,4.7869491
359,HAT-P-7 b,1.741,1.431,2.204735471
360,HAT-P-70 b,6.78,1.87,2.74432452
361,HAT-P-8 b,1.34,1.5,3.0763402
362,HAT-P-9 b,0.67,1.4,3.922814
363,HATS-1 b,1.855,1.302,3.446459
364,HATS-10 b,0.526,0.969,3.312846
365,HATS-11 b,0.85,1.609,3.619188
366,HATS-12 b,2.38,0.692,3.142702
367,HATS-13 b,0.543,1.212,3.0440499
368,HATS-14 b,1.071,1.039,2.7667641
369,HATS-15 b,2.17,1.105,1.74748753
370,HATS-16 b,3.27,1.3,2.686502
371,HATS-17 b,1.338,0.777,16.254611
372,HATS-18 b,1.98,1.337,0.8378434
373,HATS-19 b,0.427,1.66,4.569673
374,HATS-2 b,1.345,1.168,1.354133
375,HATS-20 b,0.273,0.776,3.7992969
376,HATS-21 b,0.332,1.123,3.5543973
377,HATS-22 b,2.74,0.953,4.7228124
378,HATS-23 b,1.47,1.86,2.1605156
379,HATS-24 b,2.44,1.487,1.3484954
380,HATS-25 b,0.613,1.26,4.2986432
381,HATS-26 b,0.65,1.75,3.3023881
382,HATS-27 b,0.53,1.5,4.637038
383,HATS-28 b,0.672,1.194,3.1810781
384,HATS-29 b,0.653,1.251,4.6058749
385,HATS-3 b,1.071,1.381,3.547851
386,HATS-30 b,0.706,1.175,3.1743516
387,HATS-31 b,0.88,1.64,3.37796
