solution_id,ra,dec,parallax,pm,pmra,pmdec,phot_g_mean_flux,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_mag,bp_rp,bp_g,g_rp,radial_velocity,phot_variable_flag,l,b,non_single_star,has_rvs,teff_gspphot,logg_gspphot
1636148068921376768,65.39545704764056,14.409703887220196,20.67979693450329,105.944626,104.19978440400169,-19.148581742579594,4.735185117645949E7,6.4990244,2.8611435590010963E7,6.697193,2.753052384593392E7,6.1483593,0.54883385,0.19816875,0.3506651,39.559837,"NOT_AVAILABLE",180.41325121426536,-24.257825860442377,0,true,6618.983,4.1257
1636148068921376768,65.75678797400016,15.228121233684698,20.706527940234576,109.18311,107.43366431136246,-19.466892830338374,16486.203576566757,15.144566,2262.083494358058,16.95227,22454.93883598536,13.869616,3.082655,1.8077049,1.27495,,"NOT_AVAILABLE",179.96199416231303,-23.46945802681805,0,false,3084.465,5.0129
1636148068921376768,67.16468609875307,16.969906003224942,20.707493378225784,106.00871,102.49011854574022,-27.085463501451116,44996.904437944,14.05441,36006.5424021693,13.947589,15289.707447136803,14.286898,-0.33930874,-0.10682106,-0.23248768,,"NOT_AVAILABLE",179.42721955758756,-21.320281269041338,0,false,,
1636148068921376768,64.55462493665708,16.098024004388698,20.725496302360657,109.89051,107.26148559430219,-23.893462096674515,23706.48521876736,14.750199,3282.730762708656,16.547955,32340.74681730214,13.47352,3.0744343,1.7977552,1.276679,38.49645,"NOT_AVAILABLE",178.4238695167367,-23.80268405930593,0,false,,
1636148068921376768,67.09389131915107,13.822676224049486,20.771811493570556,106.874886,105.07476082538018,-19.53295525173183,20814.814640639797,14.891436,2700.010341436036,16.760128,28974.398817452875,13.592859,3.1672688,1.8686924,1.2985764,,"VARIABLE",182.03905608520085,-23.33864106788026,0,false,,
1636148068921376768,65.85493019594335,16.777147465731876,20.79504603398395,110.14403,106.9709172238661,-26.247469207012436,1.110084049201836E8,5.573977,7.060848789708887E7,5.7164,5.925856326465766E7,5.3160176,0.40038252,0.14242315,0.25795937,25.842978,"NOT_AVAILABLE",178.7298041249829,-22.41077412379825,0,false,7212.4966,4.0108
1636148068921376768,66.52007676867467,15.041285019426095,20.8390589991997,104.11404,101.60630054880183,-22.713261700965166,486139.7212219205,11.470464,149366.81990719907,12.402906,504266.1368575993,10.491246,1.9116602,0.93244267,0.9792175,39.5998,"NOT_AVAILABLE",180.62526748041094,-23.015165175607983,0,true,,
1636148068921376768,64.83451345915711,14.316347980068391,20.850920231259277,109.38704,107.93602845660209,-17.7577790655432,303902.96842784574,11.98053,82512.38441826968,13.047244,329046.3236297754,10.954753,2.0924911,1.0667143,1.0257769,38.881653,"NOT_AVAILABLE",180.11401775112665,-24.737268782306728,0,true,,
1636148068921376768,66.05246947657736,14.758157583423541,20.85619771465096,110.92176,110.22626713190958,-12.401878513086965,1.915402553999779E7,7.4817166,1.0978585192886978E7,7.7371764,1.3180068344153902E7,6.9481015,0.7890749,0.2554598,0.5336151,41.09817,"NOT_AVAILABLE",180.5560839011841,-23.544619622993647,0,true,5729.8994,4.2377
1636148068921376768,67.01894114867126,13.867854184261594,20.875610368866436,104.01718,102.26882886369417,-18.99106792317413,5483873.502633234,8.839648,2729873.1334708277,9.248186,3943758.557405902,8.25812,0.9900665,0.40853786,0.58152866,40.044514,"NOT_AVAILABLE",181.95138438374903,-23.367938424935332,0,true,5287.5986,4.4909
